#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.6000    0.4588    1.4887    3.6206    8.0633    2.1626   11.8693    4.3558    0.2890    0.8902    0.0600    0.5800    0.0000
    2.0000    0.7000    0.4590    1.5256    3.6073    8.0632    2.1396   11.9142    4.3561    0.2890    0.8900    0.0600    0.5800    0.0000
    2.0000    0.8000    0.4590    1.5503    3.6048    8.0632    2.1626   11.9316    4.3565    0.2890    0.8898    0.0600    0.5800    0.0000
    2.0000    0.9000    0.4590    1.5716    3.6058    8.0632    2.1968   11.9401    4.3567    0.2890    0.8899    0.0600    0.5800    0.0000
    2.0000    0.4570    0.4547    0.9791    4.3724    8.0605    5.5612   10.1108    4.3811    0.3560    0.9119    0.0400    0.4300    0.0000
    2.0000    0.4590    0.4544    0.9852    4.3503    8.0608    5.4684   10.1581    4.3788    0.3560    0.9113    0.0400    0.4300    0.0000
    2.0000    0.4610    0.4543    0.9915    4.3325    8.0610    5.3932   10.1967    4.3766    0.3560    0.9113    0.0400    0.4300    0.0000
    2.0000    0.4650    0.4560    1.0039    4.3038    8.0615    5.2697   10.2603    4.3724    0.3560    0.9111    0.0400    0.4300    0.0000
    2.0000    0.4700    0.4543    1.0195    4.2744    8.0620    5.1409   10.3271    4.3680    0.3560    0.9104    0.0400    0.4300    0.0000
    2.0000    0.4750    0.4542    1.0432    4.2488    8.0625    5.0195   10.3900    4.3641    0.3560    0.9097    0.0400    0.4300    0.0000
    2.0000    0.4800    0.4543    1.0873    4.2241    8.0628    4.8811   10.4615    4.3611    0.3560    0.9097    0.0400    0.4300    0.0000
    2.0000    0.4900    0.4544    1.2869    4.1470    8.0629    4.3821   10.7155    4.3601    0.3560    0.9094    0.0400    0.4300    0.0000
    2.0000    0.5000    0.4544    1.4741    4.0022    8.0627    3.6248   11.0985    4.3626    0.3560    0.9095    0.0400    0.4300    0.0000
