#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    9.9500    0.6411    0.4690    0.1721    0.9411    2.7260    3.5269    8.0914    0.5790   12.6753    5.8508    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9500    0.6420    0.4690    0.1730    0.9420    2.7339    3.5259    8.0907    0.5678   12.6812    5.8550    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9500    0.6430    0.4690    0.1740    0.9430    2.7418    3.5249    8.0899    0.5567   12.6871    5.8593    0.2880    0.0000    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
   10.0000    0.5734    0.4690    0.1044    0.8734    1.5734    3.6834    8.0661    2.3094   11.7860    4.3308    0.2880    0.9378    0.0169    0.0000    0.0000
   10.0000    0.6734    0.4690    0.2044    0.8734    1.6091    3.6541    8.0660    2.2262   11.8624    4.3289    0.2880    0.9402    0.0169    0.0000    0.0000
   10.0000    0.5744    0.4690    0.1054    0.8744    1.5745    3.6821    8.0661    2.3038   11.7891    4.3308    0.2880    0.9378    0.0169    0.0000    0.0000
   10.0000    0.6744    0.4690    0.2054    0.8744    1.6094    3.6540    8.0660    2.2260   11.8628    4.3289    0.2880    0.9402    0.0169    0.0000    0.0000
   10.0000    0.5754    0.4690    0.1064    0.8754    1.5757    3.6808    8.0661    2.2982   11.7923    4.3309    0.2880    0.9377    0.0169    0.0000    0.0000
   10.0000    0.6754    0.4690    0.2064    0.8754    2.7618    3.5220    8.0916    0.5462   12.7030    5.8757    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5763    0.4690    0.1073    0.8763    2.8521    3.5175    8.0678    0.3696   12.7570    5.9165    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6764    0.4690    0.2074    0.8764    2.7669    3.5214    8.0911    0.5393   12.7068    5.8782    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5773    0.4690    0.1083    0.8773    2.8700    3.5152    8.0658    0.3430   12.7706    5.9257    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6774    0.4690    0.2084    0.8774    2.7720    3.5208    8.0906    0.5324   12.7105    5.8808    0.2880    0.0000    0.0169    0.0000    0.0000
