# log(age) Mini Mact logl logt logg Composition Phase
    6.30    5.37000000   5.3700   2.9085   4.3218   4.5250   0.0000   0.0000
    6.30    5.93600000   5.9360   3.0510   4.3439   4.5140   0.0000   0.0000
    6.30    6.56200000   6.5620   3.1939   4.3660   4.5020   0.0000   0.0000
    6.30    7.25400000   7.2540   3.3351   4.3875   4.4900   0.0000   0.0000
    6.30    8.01800000   8.0180   3.4737   4.4082   4.4770   0.0000   0.0000
    6.30    8.86400000   8.8640   3.6127   4.4288   4.4640   0.0000   0.0000
    6.30    9.79800000   9.7970   3.7476   4.4484   4.4510   0.0000   0.0000
    6.30   10.83100000  10.8300   3.8822   4.4679   4.4380   0.0000   0.0000
    6.30   11.97200000  11.9700   4.0178   4.4873   4.4230   0.0000   0.0000
    6.30   13.23400000  13.2300   4.1474   4.5050   4.4080   0.0000   0.0000
